month,orders,revenue,ticket,mom_orders,mom_revenue,mom_ticket,prior_orders,prior_revenue,prior_ticket,yoy_orders,yoy_revenue,yoy_ticket
2016-09-01,1,134.97,134.97,,,,,,,,,
2016-10-01,265,40325.11,152.17022641509433,264.0,297.77091205453064,0.12743740397936087,,,,,,
2016-12-01,1,10.9,10.9,-0.9962264150943396,-0.9997296969555693,-0.9283696932258834,,,,,,
2017-01-01,750,111798.36,149.06448,749.0,10255.730275229358,12.675640366972477,,,,,,
2017-02-01,1653,234223.4,141.69594676346037,1.2040000000000002,1.0950521993345879,-0.04943185148158458,,,,,,
2017-03-01,2546,359198.85,141.0836017282011,0.5402298850574712,0.5335737163750505,-0.004321542353511898,,,,,,
2017-04-01,2303,340669.68,147.9243074250977,-0.09544383346425767,-0.051584714149279676,0.04848689438816067,,,,,,
2017-05-01,3546,489338.25,137.99725042301185,0.5397307859313938,0.4364009441638599,-0.06710903146943903,,,,,,
2017-06-01,3135,421923.37,134.58480701754385,-0.11590524534686975,-0.13776744409414143,-0.024728343463421343,,,,,,
2017-07-01,3872,481604.52,124.3813326446281,0.23508771929824568,0.14145021168180372,-0.07581445929172137,,,,,,
2017-08-01,4193,554699.7,132.29184354877174,0.08290289256198347,0.15177428152044747,0.06359885953903444,,,,,,
2017-09-01,4150,607399.67,146.36136626506024,-0.010255187216789863,0.09500630701621082,0.1063521554985476,1.0,134.97,134.97,4149.0,4499.256871897459,0.08439924624035156
2017-10-01,4478,648247.65,144.76276239392587,0.0790361445783132,0.06725057983650196,-0.010922307654871899,265.0,40325.11,152.17022641509433,15.89811320754717,15.075533333945028,-0.04867880002335134
2017-11-01,7289,987765.37,135.51452462614898,0.6277355962483251,0.5237469352954847,-0.06388547451595838,,,,,,
2017-12-01,5513,726033.1900000001,131.694756031199,-0.24365482233502533,-0.264974039330818,-0.02818715267228933,1.0,10.9,10.9,5512.0,66607.5495412844,11.082087709284313
2018-01-01,7069,924645.0,130.80280096194653,0.2822419735171413,0.2735574802027989,-0.006772897388876764,750.0,111798.36,149.06448,8.425333333333333,7.27064905066586,-0.12250858848501989
2018-02-01,6555,826437.13,126.0773653699466,-0.07271184043004664,-0.10621143249571452,-0.03612640981116799,1653.0,234223.4,141.69594676346037,2.9655172413793105,2.528414026950339,-0.11022602798643621
2018-03-01,7003,953356.25,136.13540625446237,0.0683447749809305,0.15357383567701022,0.07977673752146264,2546.0,359198.85,141.0836017282011,1.7505891594658287,1.654118324710672,-0.03507278955970716
2018-04-01,6798,973534.09,143.2088982053545,-0.029273168642010572,0.021165057658141917,0.051959237831710414,2303.0,340669.68,147.9243074250977,1.9518019973947025,1.8577068848627798,-0.031877176251988715
2018-05-01,6749,977544.6900000001,144.84289376203884,-0.0072080023536333915,0.004119629750202192,0.011409874506130624,3546.0,489338.25,137.99725042301185,0.9032712915961647,0.997687060024431,0.049607099547582356
2018-06-01,6099,856077.86,140.36364322020003,-0.09631056452807818,-0.12425706082041121,-0.030924889896205232,3135.0,421923.37,134.58480701754385,0.9454545454545455,1.0289889607205214,0.04293825083765124
2018-07-01,6159,867953.46,140.9244130540672,0.009837678307919262,0.013872102708041067,0.003995121678249891,3872.0,481604.52,124.3813326446281,0.5906508264462811,0.8022120307342628,0.13300291979267187
2018-08-01,6351,838576.64,132.03851991812314,0.03117389186556263,-0.03384607741525669,-0.06305432070548977,4193.0,554699.7,132.29184354877174,0.5146673026472692,0.5117668893637406,-0.00191488472647372
